State,8-bit Binary Word,Desired Phase (deg),Measured Phase at 2.4 GHz (deg),Optimum 9-bit Word (decimal),Optimum 9-bit Word (binary),Optimized Phase at 2.4 GHz (deg)
0,00000000,0,0,0,000000000,0
1,00000001,1.40625,0.83,257,100000001,1.56
2,00000010,2.8125,2.71,2,000000010,2.71
3,00000011,4.21875,3.58,259,100000011,4.3
4,00000100,5.625,5.82,4,000000100,5.82
5,00000101,7.03125,6.6,261,100000101,7.36
6,00000110,8.4375,8.83,6,000000110,8.83
7,00000111,9.84375,9.69,7,000000111,9.69
8,00001000,11.25,12.83,263,100000111,10.45
9,00001001,12.65625,13.85,8,000001000,12.83
10,00001010,14.0625,15.91,9,000001001,13.85
11,00001011,15.46875,16.9,10,000001010,15.91
12,00001100,16.875,20.01,11,000001011,16.9
13,00001101,18.28125,20.95,267,100001011,17.79
14,00001110,19.6875,23.36,12,000001100,20.01
15,00001111,21.09375,24.32,13,000001101,20.95
16,00010000,22.5,22.76,16,000010000,22.76
17,00010001,23.90625,23.63,17,000010001,23.63
18,00010010,25.3125,25.38,18,000010010,25.38
19,00010011,26.71875,26.29,275,100010011,26.97
20,00010100,28.125,28.59,20,000010100,28.59
21,00010101,29.53125,29.44,21,000010101,29.44
22,00010110,30.9375,31.51,22,000010110,31.51
23,00010111,32.34375,32.34,23,000010111,32.34
24,00011000,33.75,35.28,279,100010111,33.13
25,00011001,35.15625,36.23,24,000011000,35.28
26,00011010,36.5625,38.25,25,000011001,36.23
27,00011011,37.96875,39.2,26,000011010,38.25
28,00011100,39.375,42.3,27,000011011,39.2
29,00011101,40.78125,43.24,283,100011011,40.07
30,00011110,42.1875,45.5,28,000011100,42.3
31,00011111,43.59375,46.5,29,000011101,43.24
32,00100000,45,45.49,32,000100000,45.49
33,00100001,46.40625,46.41,33,000100001,46.41
34,00100010,47.8125,48.36,287,100011111,47.4
35,00100011,49.21875,49.22,35,000100011,49.22
36,00100100,50.625,51.06,36,000100100,51.06
37,00100101,52.03125,51.94,37,000100101,51.94
38,00100110,53.4375,54.15,38,000100110,54.15
39,00100111,54.84375,55.08,294,100100110,54.94
40,00101000,56.25,58.4,295,100100111,55.82
41,00101001,57.65625,59.35,40,000101000,58.4
42,00101010,59.0625,61.47,296,100101000,59.2
43,00101011,60.46875,62.48,297,100101001,60.13
44,00101100,61.875,65,42,000101010,61.47
45,00101101,63.28125,66.01,299,100101011,63.28
46,00101110,64.6875,68.34,44,000101100,65
47,00101111,66.09375,69.38,45,000101101,66.01
48,00110000,67.5,68.23,301,100101101,66.82
49,00110001,68.90625,69.12,304,100110000,68.91
50,00110010,70.3125,70.94,303,100101111,70.22
51,00110011,71.71875,71.88,306,100110010,71.69
52,00110100,73.125,73.79,307,100110011,72.6
53,00110101,74.53125,74.68,308,100110100,74.5
54,00110110,75.9375,76.79,309,100110101,75.32
55,00110111,77.34375,77.68,310,100110110,77.51
56,00111000,78.75,80.77,311,100110111,78.43
57,00111001,80.15625,81.73,56,000111000,80.77
58,00111010,81.5625,83.7,312,100111000,81.57
59,00111011,82.96875,84.75,313,100111001,82.54
60,00111100,84.375,87.29,314,100111010,84.56
61,00111101,85.78125,88.28,315,100111011,85.61
62,00111110,87.1875,90.5,60,000111100,87.29
63,00111111,88.59375,91.53,61,000111101,88.28
64,01000000,90,89.44,320,101000000,90.15
65,01000001,91.40625,90.22,318,100111110,91.35
66,01000010,92.8125,92.06,322,101000010,92.87
67,01000011,94.21875,92.92,323,101000011,93.68
68,01000100,95.625,95.54,68,001000100,95.54
69,01000101,97.03125,96.33,325,101000101,97.08
70,01000110,98.4375,98.61,70,001000110,98.61
71,01000111,99.84375,99.4,327,101000111,100.2
72,01001000,101.25,102.81,327,101000111,100.2
73,01001001,102.65625,103.66,72,001001000,102.81
74,01001010,104.0625,105.88,328,101001000,103.71
75,01001011,105.46875,106.83,74,001001010,105.88
76,01001100,106.875,110.43,75,001001011,106.83
77,01001101,108.28125,111.34,331,101001011,107.8
78,01001110,109.6875,113.83,76,001001100,110.43
79,01001111,111.09375,114.79,77,001001101,111.34
80,01010000,112.5,112.37,80,001010000,112.37
81,01010001,113.90625,113.16,337,101010001,113.9
82,01010010,115.3125,114.97,82,001010010,114.97
83,01010011,116.71875,115.76,339,101010011,116.53
84,01010100,118.125,118.47,84,001010100,118.47
85,01010101,119.53125,119.24,340,101010100,119.25
